,k,p,train_accuracy,test_accuracy
0,1,1,1.0,0.9555555555555556
1,1,2,1.0,0.9333333333333333
2,1,3,1.0,0.9333333333333333
3,1,4,1.0,0.9555555555555556
4,1,5,1.0,0.9333333333333333
5,2,1,0.9849624060150376,0.9333333333333333
6,2,2,0.9624060150375939,0.9111111111111111
7,2,3,0.9699248120300752,0.8888888888888888
8,2,4,0.9699248120300752,0.8444444444444444
9,2,5,0.9624060150375939,0.8444444444444444
10,3,1,0.9849624060150376,0.9555555555555556
11,3,2,0.9699248120300752,0.9555555555555556
12,3,3,0.9624060150375939,0.9111111111111111
13,3,4,0.9624060150375939,0.8888888888888888
14,3,5,0.9624060150375939,0.8888888888888888
15,4,1,0.9774436090225563,0.9777777777777777
16,4,2,0.9699248120300752,0.9555555555555556
17,4,3,0.9699248120300752,0.8666666666666667
18,4,4,0.9624060150375939,0.8444444444444444
19,4,5,0.9624060150375939,0.8444444444444444
20,5,1,0.9849624060150376,0.9777777777777777
21,5,2,0.9624060150375939,0.9333333333333333
22,5,3,0.9699248120300752,0.9111111111111111
23,5,4,0.9699248120300752,0.9111111111111111
24,5,5,0.9699248120300752,0.9111111111111111
25,6,1,0.9774436090225563,0.9555555555555556
26,6,2,0.9774436090225563,0.9333333333333333
27,6,3,0.9699248120300752,0.9111111111111111
28,6,4,0.9699248120300752,0.8888888888888888
29,6,5,0.9699248120300752,0.9111111111111111
30,7,1,0.9774436090225563,0.9777777777777777
31,7,2,0.9774436090225563,0.9333333333333333
32,7,3,0.9774436090225563,0.9111111111111111
33,7,4,0.9774436090225563,0.9111111111111111
34,7,5,0.9774436090225563,0.9111111111111111
35,8,1,0.9849624060150376,0.9555555555555556
36,8,2,0.9699248120300752,0.9333333333333333
37,8,3,0.9774436090225563,0.9333333333333333
38,8,4,0.9774436090225563,0.9333333333333333
39,8,5,0.9774436090225563,0.9333333333333333
40,9,1,0.9699248120300752,0.9777777777777777
41,9,2,0.9849624060150376,0.9333333333333333
42,9,3,0.9699248120300752,0.9333333333333333
43,9,4,0.9699248120300752,0.9333333333333333
44,9,5,0.9699248120300752,0.9333333333333333
45,10,1,0.9849624060150376,0.9555555555555556
46,10,2,0.9849624060150376,0.9333333333333333
47,10,3,0.9699248120300752,0.9111111111111111
48,10,4,0.9699248120300752,0.9333333333333333
49,10,5,0.9699248120300752,0.9111111111111111
50,11,1,0.9774436090225563,0.9555555555555556
51,11,2,0.9849624060150376,0.9333333333333333
52,11,3,0.9699248120300752,0.9333333333333333
53,11,4,0.9624060150375939,0.9333333333333333
54,11,5,0.9548872180451128,0.9333333333333333
55,12,1,0.9699248120300752,0.9555555555555556
56,12,2,0.9699248120300752,0.9111111111111111
57,12,3,0.9699248120300752,0.9111111111111111
58,12,4,0.9699248120300752,0.9111111111111111
59,12,5,0.9624060150375939,0.9111111111111111
60,13,1,0.9699248120300752,0.9555555555555556
61,13,2,0.9774436090225563,0.9111111111111111
62,13,3,0.9699248120300752,0.9111111111111111
63,13,4,0.9699248120300752,0.9111111111111111
64,13,5,0.9624060150375939,0.9111111111111111
65,14,1,0.9699248120300752,0.9555555555555556
66,14,2,0.9774436090225563,0.9111111111111111
67,14,3,0.9624060150375939,0.9111111111111111
68,14,4,0.9624060150375939,0.8888888888888888
69,14,5,0.9624060150375939,0.8666666666666667
70,15,1,0.9699248120300752,0.9555555555555556
71,15,2,0.9774436090225563,0.9333333333333333
72,15,3,0.9699248120300752,0.9111111111111111
73,15,4,0.9624060150375939,0.9111111111111111
74,15,5,0.9624060150375939,0.9111111111111111
